Title,imdbID
Kopfgeld,tt0117438
King Ralph,tt0102216
Crossing Over - Der Traum von Amerika,tt0924129
Les chambres rouges,tt22207786
Manodrome,tt14813150
Foe,tt8258502
Aporia,tt8511466
The Wrath of Becky,tt20916568
Zola,tt5439812
Die Frau in Schwarz,tt0098672
La Casa Lobo,tt8173728
Tahara,tt11261820
Noah,tt1959490
The Nightmare,tt3317522
Versprochen ist versprochen,tt0116705
The Invitation,tt2400463
Wo die wilden Menschen jagen,tt4698684
Friends: The Reunion,tt11337862
Ein Kater macht Theater,tt0312528
Beaten to Death,tt13852690
'Til Madness Do Us Part,tt3120794
Amos & Andrew - Zwei fast perfekte Chaoten,tt0106266
Rehragout Rendezvous,tt27722620
Drumline - Halbzeit ist Spielzeit,tt0303933
Manhattan Nocturne - Tödliches Spiel,tt3100274
Far Cry,tt0400426
Bloodrayne 3,tt1153546
Bloodrayne 2 - Deliverance,tt0896036
BloodRayne,tt0383222
Dämonen 2,tt0090930
High School Musical 3,tt0962726
Grindhouse,tt0462322
High School Musical 2,tt0810900
High School Musical,tt0475293
Die Tribute von Panem - The Ballad of Songbirds and Snakes,tt10545296
The Marvels,tt10676048
Trolls - Gemeinsam stark,tt14362112
Merry Little Batman,tt15352516
Borgman,tt1954315
Als sie mich fand,tt0455805
Drishyam,tt4430212
Apus Weg ins Leben: Auf der Straße,tt0048473
Die besten Jahre unseres Lebens,tt0036868
Jai Bhim,tt15097216
Kinder des Himmels,tt0118849
Dangal - Die Hoffnung auf den großen Sieg,tt5074352
Taare Zameen Par - Ein Stern auf Erden,tt0986264
Das Geisterhaus,tt0107151
Was geschah wirklich mit Baby Jane?,tt0056687
Kampf der Titanen,tt0082186
Pain Hustlers,tt15257160
Body Snatchers - Die Körperfresser kommen,tt0106452
Creep 2,tt3654796
Früchte des Zorns,tt0032551
Mein Vater und mein Sohn,tt0476735
Die Reise nach Tokio,tt0046438
Yojimbo - Der Leibwächter,tt0055630
Lohn der Angst,tt0046268
Der Schatz der Sierra Madre,tt0040897
Der Vagabund und das Kind,tt0012349
Der unsichtbare Dritte,tt0053125
Zwischen Himmel und Hölle,tt0049117
Nader und Simin - eine Trennung,tt1832382
Das Lehrerzimmer,tt26612950
Killers of the Flower Moon,tt5537002
Ein Offizier und Gentleman,tt0084434
When Evil Lurks,tt16300962
May December,tt13651794
The Holdovers,tt14849194
Hinter Kaifeck,tt1170398
Family Switch,tt14227048
Hours - Wettlauf gegen die Zeit,tt2094018
Inheritance - Ein dunkles Vermächtnis,tt7923220
Das Philadelphia Experiment,tt0087910
Lifeforce - Die tödliche Bedrohung,tt0089489
Die Geistervilla,tt0338094
Ju-on: The Curse 2,tt0330501
Kandahar,tt5761544
Contracted: Phase II,tt4255110
Contracted,tt2281159
Resident Evil: Vendetta,tt5776208
Ju-on: The Curse,tt0330500
Straßen in Flammen,tt0088194
Glanz & Gloria,tt2403877
Joy Ride - The Trip,tt15268244
Die Nacht der Creeps,tt0091630
Die vierte Art,tt1220198
Männer al dente,tt1405810
Rififi,tt0048021
Loving,tt4669986
Glück in kleinen Dosen,tt0406650
Leo,tt5755238
Tripped Up,tt14778172
Jawan,tt15354916
Ghettobusters,tt0095348
Passages,tt16252698
Man on Wire – Der Drahtseilakt,tt1155592
Looking for Eric,tt1242545
Zulu - Blutiges Erbe,tt2249221
303 – Unterwegs zur Liebe,tt5451118
Kill the King,tt3014078
Sly,tt28254460
Die Königin und der Leibarzt,tt1276419
Der Flug des Phoenix,tt0059183
Sympathy for the devil,tt21991654
Von allen Geistern besessen!,tt0100475
The Creator,tt11858890
Kopf über Wasser,tt0116502
Die letzte Metro,tt0080610
Theater Camp,tt21232992
Herbie Fully Loaded - Ein toller Käfer startet durch,tt0400497
Der Killer,tt1136617
She's the One - Eine fürs Leben,tt0117628
Nowhere - Eine Reise an den Abgrund der Seele,tt0119809
Dumb Money - Schnelles Geld,tt13957560
Oppenheimer,tt15398776
Frau ohne Gewissen,tt0036775
Eine Hochzeit zum Verlieben,tt0120888
Freaks - Missgestaltete,tt0022913
Milli Vanilli,tt14666592
Vigilante - Bis zum letzten Atemzug,tt6211976
Der Einsatz,tt0292506
Rächer der Unterwelt,tt0038669
Küssen und andere lebenswichtige Dinge,tt15509244
Conan der Zerstörer,tt0087078
Vier für ein Ave Maria,tt0064860
Pontypool - Radio Zombie,tt1226681
Nimic,tt10651850
Fingernails,tt13968674
Die Grauzone,tt0252480
Die große Liebe meines Lebens,tt0050105
Quiz Lady,tt13405810
Diebinnen,tt21638298
Alles was kommt,tt4120176
Eine Dame verschwindet,tt0030341
Coherence,tt2866360
Terrified,tt7549892
Die gesammelten Peinlichkeiten unserer Eltern in der Reihenfolge ihrer Erstaufführung,tt2097331
Crazy Rich,tt3104988
A Haunting in Venice,tt22687790
Bonnie und Clyde,tt0061418
Fair Play,tt16304446
South Park: Joining the Panderverse,tt29474455
Asterix und die Wikinger,tt0371552
The Battle at Lake Changjin,tt13462900
The Room,tt0368226
The Royal Hotel,tt18363072
Nirgendwo,tt15789472
Five Nights at Freddy's,tt4589218
Close,tt9660502
Der Exorzist: Bekenntnis,tt12921446
L'Auberge Espagnole - Barcelona für ein Jahr,tt0283900
Ballermann 6,tt0118678
Voll normaaal,tt0111640
Psycho Raman,tt5662932
Leviathan,tt2802154
Mexican,tt0236493
Der Sturm,tt0177971
Saw X,tt21807222
Very Good Girls - Die Liebe eines Sommers,tt1931602
Polite Society,tt18257464
Der Fremde,tt0038991
Annie,tt0083564
Ballerina,tt26350277
Frantic,tt0095174
Die drei Musketiere - D'Artagnan,tt12672536
Jesus Revolution,tt10098448
Ideal Home - Ein Vater kommt selten allein,tt5460880
Freedom Writers,tt0463998
Totally Killer - Gefährliches Spiel mit der Zeit,tt11426232
Mortal Kombat Legends: Cage Match,tt22698070
Krieg der Bestatter,tt5648882
Eine Nacht in Casablanca,tt0038777
Reptile,tt13274016
The Expendables 4,tt3291150
Sound of Freedom,tt7599146
Carl's Date,tt26736061
Der Griff nach den Sternen,tt21940010
House - Hausu,tt0076162
Gangster's Paradise: Jerusalema,tt0783532
Ferngully - Christa und Zaks Abenteuer im Regenwald,tt0104254
Geistervilla,tt1695843
Cassandro,tt14954534
Der Womanizer - Die Nacht der Ex-Freundinnen,tt0821640
No One Will Save You,tt14509110
The Equalizer 3 - The Final Chapter,tt17024450
The Nun II,tt10160976
Graf Zaroff - Genie des Bösen,tt0023238
Liebe auf den zweiten Blick,tt1046947
Unheimliche Geschichten,tt0010821
Dick und Doof - Rache ist süß,tt0024852
Die schwarze Katze,tt0024894
Gold,tt0025189
Die Abenteuer des Robin Hood,tt0029843
Jeremiah Johnson,tt0068762
Aushilfsgangster,tt0471042
Super süß und super sexy,tt0253867
God's Creatures,tt10375396
Die Nächte einer schönen Frau,tt0014624
Riff-Piraten,tt0031505
"Lange Beine, kurze Lügen",tt1018818
Blue Jay,tt5912454
Copenhagen,tt2459156
Hatari,tt0056059
Die statistische Wahrscheinlichkeit von Liebe auf den ersten Blick,tt13444014
Strange World,tt10298840
Mission: Impossible - Dead Reckoning Teil Eins,tt9603212
Yi Yi,tt0244316
Muppet Movie,tt0079588
Der phantastische Planet,tt0070544
Gift,tt28912885
Der Rattenfänger,tt28912858
Bottle Shock,tt0914797
Flora and Son,tt25471950
It's Such a Beautiful Day,tt2396224
Der Schwan,tt28912758
Petite Maman - Als wir Kinder waren,tt13204490
Die Klavierspielerin,tt0254686
Hope and Glory,tt0093209
Die unglaubliche Reise in einem verrückten Raumschiff,tt0083530
"Ich sehe was, was du nicht siehst",tt16968450
Augsburger Puppenkiste - Am Samstag kam das Sams zurück,tt0437064
Gran Turismo,tt4495098
Songs From The Second Floor,tt0120263
Vampyr,tt0023649
Im Labyrinth des Schweigens,tt3825638
Bottoms,tt17527468
Diva,tt0082269
Verdammt in alle Ewigkeit,tt0045793
Woyzeck,tt0080149
Lady Macbeth,tt4291600
Gallipoli,tt0082432
Twilight - Biss zum Morgengrauen,tt1099212
New Moon - Biss zur Mittagsstunde,tt1259571
Eclipse - Bis(s) zum Abendrot,tt1325004
Breaking Dawn - Bis(s) zum Ende der Nacht - Teil 1,tt1324999
Breaking Dawn - Bis(s) zum Ende der Nacht - Teil 2,tt1673434
Vampire's Kiss: Ein beißendes Vergnügen,tt0098577
Auf dem Highway ist die Hölle los,tt0082136
Blue Beetle,tt9362930
Der große Buck Howard,tt0460810
Der Aufreißer,tt0497972
Duell,tt0067023
Klang der Stille,tt0424908
Krass,tt0439289
Take This Waltz,tt1592281
Das Leben vor meinen Augen,tt0815178
F wie Fälschung,tt0072962
Talk to Me,tt10638522
Life After Beth,tt2581244
Schwarzer Freitag,tt0032258
Flucht aus Sobibor,tt0092978
Operation: Broken Arrow,tt0115759
Ohne Schuld,tt1217637
Undertow - Im Sog der Rache,tt0360130
The Blackening,tt11703244
Past Lives - In einem anderen Leben,tt13238346
Doggy Style,tt15153532
It Boy - Liebe auf französisch,tt2186812
Der zuckersüße Tod,tt0155776
7 Zwerge - Der Wald ist nicht genug,tt0461642
Bailey – Ein Freund fürs Leben,tt1753383
Sein Name ist Mad Dog,tt0107473
Teenage Mutant Ninja Turtles: Mutant Mayhem,tt8589698
Das Leuchten der Erinnerung,tt3741632
Barbie,tt1517268
Die letzte Fahrt der Demeter,tt1001520
Futurama - Die Ära des Tentakels,tt1054485
Futurama - Bender's Big Score,tt0471711
"Manta, Manta - Zwoter Teil",tt20414228
The Good Neighbor,tt2262315
Saving Face - Liebe und was noch?,tt0384504
The Boogeyman,tt3427252
"Weiblich, ledig, jung sucht...",tt0105414
Du bist sowas von nicht zu meiner Bat-Mizwa eingeladen,tt21276878
Indiana Jones und das Rad des Schicksals,tt1462764
Willkommen in Siegheilkirchen,tt7664100
Niemals Selten Manchmal Immer,tt7772582
Election,tt0126886
"BARDO, die erfundene Chronik einer Handvoll Wahrheiten",tt14176542
Die Eiche - Mein Zuhause,tt10368758
Meg 2 - Die Tiefe,tt9224104
7 Zwerge - Männer allein im Wald,tt0382295
Funny Farm,tt0095188
Das schnelle Geld,tt0417217
Precious - Das Leben ist kostbar,tt0929632
Cobweb,tt9100018
Vampire Nation,tt1464580
Roma,tt6155172
Popstar: Never Stop Never Stopping,tt3960412
The Big Hit,tt0120609
Truck Driver,tt0083000
Please Stand By,tt4652650
Eine zauberhafte Nanny - Knall auf Fall in ein neues Abenteuer,tt1415283
Pixars komplette Kurzfilm Collection: Volume 1,tt4439852
Die Abenteuer von Brigsby Bär,tt5805752
Smoking Causes Coughing,tt15471560
Mistress America,tt2872462
Der Mongole,tt0416044
Darkman,tt0099365
Atemlos vor Angst,tt0076740
Suzume,tt16428256
Elemental,tt15789038
Der Honiggarten - Das Geheimnis der Bienen,tt7241926
X-Men: Dark Phoenix,tt6565702
Boulevard der Dämmerung,tt0043014
Funny Games U.S.,tt0808279
Royal Blue,tt10172266
Teenage Mutant Ninja Turtles: Out of the Shadows,tt3949660
Jersey Girl,tt0300051
All About Lily Chou-Chou,tt0297721
Fahrstuhl zum Schafott,tt0051378
Harakiri,tt0056058
"Oslo, 31. August",tt1736633
Ikiru - Einmal wirklich leben,tt0044741
Olivia Rodrigo: SOUR Prom,tt14955694
Paint,tt14472156
The Adults,tt26443107
The Awakening - Geister der Vergangenheit,tt1687901
Der Rosenkrieg,tt0098621
Suicide Circle,tt0312843
Cure,tt0123948
Creep,tt2428170
Plötzlich Prinzessin,tt0247638
Teenage Mutant Ninja Turtles,tt0453556
Die Wolken von Sils Maria,tt2452254
Blitz: Cop-Killer vs. Killer-Cop,tt1297919
No Hard Feelings,tt15671028
Pathaan,tt12844910
Deadstream,tt12788488
Spider-Man: Across the Spider-Verse,tt9362722
The Quiet Girl,tt15109082
In The Mood For Love,tt0118694
Das verlorene Wochenende,tt0037884
Die Überglücklichen,tt4621872
Radio Rock Revolution,tt1131729
When You Finish Saving the World,tt12121582
Insidious: The Red Door,tt13405778
The Good German - In den Ruinen von Berlin,tt0452624
Johanna von Orléans - Die Passion der Heiligen Johanna,tt0019254
Beach Bum,tt6511932
Ich liebe dich zu Tode,tt0099819
Sie haben Tyrone geklont,tt9873892
Tigerland,tt0170691
EO,tt19652910
"Arielle, die Meerjungfrau",tt5971474
Der tiefste Atemzug,tt24132732
Der Tintenfisch und der Wal,tt0367089
House Bunny,tt0852713
Party Animals - ... wilder geht's nicht!,tt0283111
Sick of Myself,tt18816518
Broker - Familie gesucht,tt13056052
Feuchtgebiete,tt2524674
The Flash,tt0439572
Culpa Mia - Meine Schuld,tt21909764
Exam - Tödliche Prüfung,tt1258197
Der Einzelgänger,tt0083190
Die Coneheads,tt0106598
Transformers: Aufstieg der Bestien,tt5090568
Asteroid City,tt14230388
Hitlerjunge Salomon,tt0099776
Dead Man Walking,tt0112818
Liebe geht durch den Magen,tt3689498
Sonne und Beton,tt13273800
Guardians of the Galaxy Vol. 3,tt6791350
Meuterei auf der Bounty,tt0056264
Arthur und die Minimoys,tt0344854
Am Sonntag bist du tot,tt2234003
Nimona,tt19500164
Repo! The Genetic Opera,tt0963194
Panik im Tokio-Express,tt0080479
Fast & Furious 8,tt4630562
Public Enemy No. 1 - Mordinstinkt,tt1259014
Footsoldier,tt0901507
Ghettogangz 2 - Ultimatum,tt1247640
Hans Zimmer Live in Prague,tt5732482
Knowing - Die Zukunft endet jetzt,tt0448011
Eight for Silver,tt9907782
Teenage Mutant Ninja Turtles,tt1291150
Sister Act - Eine himmlische Karriere,tt0105417
30 über Nacht,tt0337563
Gandhi,tt0083987
Freaky Friday - Ein voll verrückter Freitag,tt0322330
Die Wutprobe,tt0305224
Michael,tt0117038
Mad God,tt15090124
Triple Frontier,tt1488606
Speak No Evil,tt14253846
Skinamarink,tt21307994
Shiva Baby,tt11317142
Shirley,tt8430598
The One I Love,tt2756032
Columbus,tt5990474
Weihnachtsgeschenke von Tiffany,tt16233952
Living - Einmal wirklich leben,tt9051908
I'm Thinking of Ending Things,tt7939766
Empire of Light,tt14402146
Der Tod steht ihr gut,tt0104070
Clueless - Was sonst!,tt0112697
Black Bear,tt9601220
The Woman in the Window,tt6111574
Rebecca,tt0032976
A Girl Walks Home Alone at Night,tt2326554
Crimes of the Future,tt14549466
Brautalarm,tt1478338
Alienoid,tt20168564
Dirty Dancing,tt0092890
Stay Tuned - Mit der Fernbedienung in die Hölle,tt0105466
Afro Samurai: Resurrection,tt1265998
Wo die wilden Kerle wohnen,tt0386117
Rubbeldiekatz,tt1802810
Maggie,tt1881002
Magic in the Moonlight,tt2870756
RRR,tt8178634
Die letzte Rechnung zahlst du selbst,tt0062645
Otto - Der Katastrofenfilm,tt0192407
Otto - Der Liebesfilm,tt0105073
Otto - Der Ausserfriesische,tt0098040
Otto - Der Neue Film,tt0095799
Freaks Out,tt7270808
Holy Spider,tt18550140
Chaplin - Das Leben der unsterblichen Filmlegende,tt0103939
Tyler Rake: Extraction 2,tt12263384
Against the Ice,tt13873302
Ich und Orson Welles,tt1175506
Schwere Jungs,tt0265808
Revenge - Eine gefährliche Affäre,tt0100485
School of Life - Lehrer mit Herz,tt0340331
Die Nibelungen: Siegfrieds Tod,tt0015175
Infinitely Polar Bear,tt1969062
Girl,tt8254556
Limbo,tt14032696
Das Seeungeheuer,tt9288046
Die Nibelungen: Kriemhilds Rache,tt0015174
Wege zum Ruhm,tt0050825
We Want Sex,tt1371155
Beau is Afraid,tt13521006
Fast & Furious 10,tt5433140
W. - Ein missverstandenes Leben,tt1175491
Die roten Schuhe,tt0040725
Frau im Mond,tt0019901
Ausnahmesituation,tt1244659
Sunshine,tt0448134
"Are You There God? It's Me, Margaret.",tt9185206
Queen of Earth,tt3993894
High Life,tt4827558
One Piece Film: Red,tt16183464
Inside,tt14781036
Restless - Nur mit Dir,tt1498569
Du hättest gehen sollen,tt8201852
"Aguirre, der Zorn Gottes",tt0068182
Der Prozess,tt0057427
BlackBerry - Klick einer Generation,tt21867434
Tango und Cash,tt0098439
Nightsiren,tt10334222
Flucht in Ketten,tt0051525
Frozen Ground,tt2005374
Pusher,tt0117407
"Meine Frau, die Spartaner und ich",tt1073498
Spring - Love is a Monster,tt3395184
Barry Lyndon,tt0072684
Die Liebe seines Lebens,tt2058107
"Internal Affairs - Trau' ihm, er ist ein Cop",tt0099850
John Wick: Kapitel 4,tt10366206
Wir sind jung. Wir sind stark.,tt4076058
Gefangen im Netz,tt11900404
Fikkefuchs,tt5275476
Nochmal so wie letzte Nacht,tt0090583
Kartoffelsalat,tt4404474
Ashes Of Time,tt0109688
Wie ein weißer Vogel im Schneesturm,tt2238050
Her Smell,tt7942742
Sisu: Rache ist süss,tt14846026
Plane,tt5884796
Nekromantik,tt0093608
Nekromantik 2,tt0102522
Justice League: Götter und Monster,tt4324302
Rockos modernes Leben: Alles bleibt anders,tt6172460
Die Klasse,tt1068646
Die Klapperschlange,tt0082340
Wie ein wilder Stier,tt0081398
Still,tt19853258
Mamma Mia! - der Film,tt0795421
Mamma Mia! Here We Go Again,tt6911608
Dragon Ball Super: Super Hero,tt14614892
Air - Der grosse Wurf,tt16419074
Bride of Re-Animator,tt0099180
The Covenant,tt4873118
Evil Dead Rise,tt13345606
Die Kunst des toten Mannes,tt7043012
Mirai - Das Mädchen aus der Zukunft,tt6900448
The Guardians of the Galaxy Holiday Special,tt13623136
Filofax - Ich bin du und du bist nichts,tt0103035
Der Super Mario Bros. Film,tt6718170
The Time Machine,tt0268695
"Die Stunde, wenn Dracula kommt",tt0054067
